NoQ;Q;Users
1;Q3 '08;100
2;Q4 '08;148
3;Q1 '09;197
4;Q2 '09;242
5;Q3 '09;305
6;Q4 '09;360
7;Q1 '10;431
8;Q2 '10;482
9;Q3 '10;550
10;Q4 '10;608
11;Q1 '11;680
12;Q2 '11;739
13;Q3 '11;800
14;Q4 '11;845
15;Q1 '12;901
16;Q2 '12;955
17;Q3 '12;1007
18;Q4 '12;1056
19;Q1 '13;1110
20;Q2 '13;1155
21;Q3 '13;1189
22;Q4 '13;1228
23;Q1 '14;1276
24;Q2 '14;1317
25;Q3 '14;1350
26;Q4 '14;1393
27;Q1 '15;1441
28;Q2 '15;1490
29;Q3 '15;1545
30;Q4 '15;1591
31;Q1 '16;1654
32;Q2 '16;1712
33;Q3 '16;1788
34;Q4 '16;1860
35;Q1 '17;1936
36;Q2 '17;2006
37;Q3 '17;2072
38;Q4 '17;2129
39;Q1 '18;2196
40;Q2 '18;2234
41;Q3 '18;2271
42;Q4 '18;2320
43;Q1 '19;2375
44;Q2 '19;2414
45;Q3 '19;2449
46;Q4 '19;2498
47;Q1 '20;2603
48;Q2 '20;2701
49;Q3 '20;2740
50;Q4 '20;2797
51;Q1 '21;2853
52;Q2 '21;2895
53;Q3 '21;2910
54;Q4 '21;2912
55;Q1 '22;2936
56;Q2 '22;2934
57;Q3 '22;2958
58;Q4 '22;2963
59;Q1 '23;2989
60;Q2 '23;3030
61;Q3 '23;3049
62;Q4'23;3065
