,NoQ,Q,Users
0,1,Q1 '08,
1,2,Q2 '08,
2,3,Q3 '08,100.0
3,4,Q4 '08,148.0
4,5,Q1 '09,197.0
5,6,Q2 '09,242.0
6,7,Q3 '09,305.0
7,8,Q4 '09,360.0
8,9,Q1 '10,431.0
9,10,Q2 '10,482.0
10,11,Q3 '10,550.0
11,12,Q4 '10,608.0
12,13,Q1 '11,680.0
13,14,Q2 '11,739.0
14,15,Q3 '11,800.0
15,16,Q4 '11,845.0
16,17,Q1 '12,901.0
17,18,Q2 '12,955.0
18,19,Q3 '12,1007.0
19,20,Q4 '12,1056.0
20,21,Q1 '13,1110.0
21,22,Q2 '13,1155.0
22,23,Q3 '13,1189.0
23,24,Q4 '13,1228.0
24,25,Q1 '14,1276.0
25,26,Q2 '14,1317.0
26,27,Q3 '14,1350.0
27,28,Q4 '14,1393.0
28,29,Q1 '15,1441.0
29,30,Q2 '15,1490.0
30,31,Q3 '15,1545.0
31,32,Q4 '15,1591.0
32,33,Q1 '16,1654.0
33,34,Q2 '16,1712.0
34,35,Q3 '16,1788.0
35,36,Q4 '16,1860.0
36,37,Q1 '17,1936.0
37,38,Q2 '17,2006.0
38,39,Q3 '17,2072.0
39,40,Q4 '17,2129.0
40,41,Q1 '18,2196.0
41,42,Q2 '18,2234.0
42,43,Q3 '18,2271.0
43,44,Q4 '18,2320.0
44,45,Q1 '19,2375.0
45,46,Q2 '19,2414.0
46,47,Q3 '19,2449.0
47,48,Q4 '19,2498.0
48,49,Q1 '20,2603.0
49,50,Q2 '20,2701.0
50,51,Q3 '20,2740.0
51,52,Q4 '20,2797.0
52,53,Q1 '21,2853.0
53,54,Q2 '21,2895.0
54,55,Q3 '21,2910.0
55,56,Q4 '21,2912.0
56,57,Q1 '22,2936.0
57,58,Q2 '22,2934.0
58,59,Q3 '22,2958.0
59,60,Q4 '22,2963.0
60,61,Q1 '23,2989.0
61,62,Q2 '23,3030.0
62,63,Q3 '23,3049.0
63,64,Q4'23,3065.0
