NoQ,Q,l_Users,Users_f
1,"Q3 '08",4.60517018598809,120.242914979757
2,"Q4 '08",4.99721227376411,172.986541197068
3,"Q1 '09",5.28320372873799,225.730167414378
4,"Q2 '09",5.48893772615669,278.473793631688
5,"Q3 '09",5.72031177660741,331.217419848999
6,"Q4 '09",5.88610403145016,383.961046066309
7,"Q1 '10",6.06610809010375,436.70467228362
8,"Q2 '10",6.1779441140506,489.44829850093
9,"Q3 '10",6.30991827822652,542.191924718241
10,"Q4 '10",6.41017488196617,594.935550935551
11,"Q1 '11",6.52209279817015,647.679177152861
12,"Q2 '11",6.6052979209482,700.422803370172
13,"Q3 '11",6.68461172766793,753.166429587482
14,"Q4 '11",6.73933662735717,805.910055804793
15,"Q1 '12",6.80350525760834,858.653682022103
16,"Q2 '12",6.86171134048073,911.397308239414
17,"Q3 '12",6.91473089271856,964.140934456724
18,"Q4 '12",6.96224346426621,1016.88456067403
19,"Q1 '13",7.01211529430638,1069.62818689135
20,"Q2 '13",7.05185562295589,1122.37181310866
21,"Q3 '13",7.08086789669078,1175.11543932597
22,"Q4 '13",7.11314210870709,1227.85906554328
23,"Q1 '14",7.15148546390474,1280.60269176059
24,"Q2 '14",7.18311170174328,1333.3463179779
25,"Q3 '14",7.20785987143248,1386.08994419521
26,"Q4 '14",7.23921497377981,1438.83357041252
27,"Q1 '15",7.27309259599952,1491.57719662983
28,"Q2 '15",7.30653139893951,1544.32082284714
29,"Q3 '15",7.34277918933185,1597.06444906445
30,"Q4 '15",7.37211802833779,1649.80807528176
31,"Q1 '16",7.41095187558364,1702.55170149907
32,"Q2 '16",7.44541755670169,1755.29532771638
33,"Q3 '16",7.48885295573346,1808.03895393369
34,"Q4 '16",7.52833176670725,1860.782580151
35,"Q1 '17",7.56837926783652,1913.52620636831
36,"Q2 '17",7.60389796852188,1966.26983258562
37,"Q3 '17",7.63626960337937,2019.01345880293
38,"Q4 '17",7.66340766489348,2071.75708502024
39,"Q1 '18",7.69439280262942,2124.50071123755
40,"Q2 '18",7.71154897962915,2177.24433745486
41,"Q3 '18",7.72797554210556,2229.98796367217
42,"Q4 '18",7.74932246466036,2282.73158988948
43,"Q1 '19",7.77275271646874,2335.4752161068
44,"Q2 '19",7.78904040165748,2388.21884232411
45,"Q3 '19",7.80343505695217,2440.96246854142
46,"Q4 '19",7.82324569068552,2493.70609475873
47,"Q1 '20",7.86441990499457,2546.44972097604
48,"Q2 '20",7.90137735379262,2599.19334719335
49,"Q3 '20",7.91571319938212,2651.93697341066
50,"Q4 '20",7.93630269320196,2704.68059962797
51,"Q1 '21",7.9561263512135,2757.42422584528
52,"Q2 '21",7.9707403900071,2810.16785206259
53,"Q3 '21",7.97590836016554,2862.9114782799
54,"Q4 '21",7.97659540931658,2915.65510449721
55,"Q1 '22",7.98480338973441,2968.39873071452
56,"Q2 '22",7.98412195870293,3021.14235693183
57,"Q3 '22",7.99226864327075,3073.88598314914
58,"Q4 '22",7.99395754757357,3126.62960936645
59,"Q1 '23",8.00269416228394,3179.37323558376
60,"Q2 '23",8.01631789850341,3232.11686180107
61,"Q3'23",8.02256894698825,3284.86048801838
62,"Q4'23",8.02780284837031,3337.60411423569
